FeatureCode,DateCode,Measurement,Units,Value,Rent and charges
E09000008,2013-2014,PRP rents and charges,,125.9,b. Weekly total charges mean
E09000008,2015-2016,PRP rents and charges,,120,a. Weekly rent mean
E09000008,2015-2016,PRP rents and charges,,129.6,b. Weekly total charges mean
E09000008,2014-2015,PRP rents and charges,,119.3,a. Weekly rent mean
E09000008,2016-2017,PRP rents and charges,,120.3,a. Weekly rent mean
E09000008,2014-2015,PRP rents and charges,,129.4,b. Weekly total charges mean
E09000008,2016-2017,PRP rents and charges,,129.8,b. Weekly total charges mean
E09000008,2013-2014,PRP rents and charges,,119.4,a. Weekly rent mean
E09000009,2016-2017,PRP rents and charges,,127.1,a. Weekly rent mean
E09000009,2016-2017,PRP rents and charges,,142.4,b. Weekly total charges mean
E09000009,2013-2014,PRP rents and charges,,122.1,a. Weekly rent mean
E09000009,2015-2016,PRP rents and charges,,140.7,b. Weekly total charges mean
E09000009,2015-2016,PRP rents and charges,,129,a. Weekly rent mean
E09000009,2014-2015,PRP rents and charges,,131.7,b. Weekly total charges mean
E09000009,2013-2014,PRP rents and charges,,134.7,b. Weekly total charges mean
E09000009,2014-2015,PRP rents and charges,,122.9,a. Weekly rent mean
E09000010,2014-2015,PRP rents and charges,,158.7,b. Weekly total charges mean
E09000010,2016-2017,PRP rents and charges,,152,b. Weekly total charges mean
E09000010,2013-2014,PRP rents and charges,,146.9,a. Weekly rent mean
E09000010,2016-2017,PRP rents and charges,,136.3,a. Weekly rent mean
E09000010,2015-2016,PRP rents and charges,,133.5,a. Weekly rent mean
E09000010,2014-2015,PRP rents and charges,,140.8,a. Weekly rent mean
E09000010,2013-2014,PRP rents and charges,,169,b. Weekly total charges mean
E09000010,2015-2016,PRP rents and charges,,150.9,b. Weekly total charges mean
E09000011,2015-2016,PRP rents and charges,,155.4,b. Weekly total charges mean
E09000011,2013-2014,PRP rents and charges,,131.3,b. Weekly total charges mean
E09000011,2015-2016,PRP rents and charges,,132.7,a. Weekly rent mean
E09000011,2016-2017,PRP rents and charges,,125.7,a. Weekly rent mean
E09000011,2014-2015,PRP rents and charges,,119.5,a. Weekly rent mean
E09000011,2013-2014,PRP rents and charges,,115.6,a. Weekly rent mean
E09000011,2014-2015,PRP rents and charges,,136.8,b. Weekly total charges mean
E09000011,2016-2017,PRP rents and charges,,144.3,b. Weekly total charges mean
E09000012,2015-2016,PRP rents and charges,,127,a. Weekly rent mean
E09000012,2016-2017,PRP rents and charges,,132.7,b. Weekly total charges mean
E09000012,2014-2015,PRP rents and charges,,135.4,b. Weekly total charges mean
E09000012,2016-2017,PRP rents and charges,,121.4,a. Weekly rent mean
E09000012,2013-2014,PRP rents and charges,,126.1,b. Weekly total charges mean
E09000012,2015-2016,PRP rents and charges,,139.5,b. Weekly total charges mean
E09000012,2013-2014,PRP rents and charges,,112.2,a. Weekly rent mean
E09000012,2014-2015,PRP rents and charges,,123.1,a. Weekly rent mean
E09000013,2016-2017,PRP rents and charges,,132.6,a. Weekly rent mean
E09000013,2013-2014,PRP rents and charges,,128.6,a. Weekly rent mean
E09000013,2014-2015,PRP rents and charges,,130.5,a. Weekly rent mean
E09000013,2015-2016,PRP rents and charges,,146.6,b. Weekly total charges mean
E09000013,2015-2016,PRP rents and charges,,135.8,a. Weekly rent mean
E09000013,2013-2014,PRP rents and charges,,136.4,b. Weekly total charges mean
E09000013,2016-2017,PRP rents and charges,,140.9,b. Weekly total charges mean
E09000013,2014-2015,PRP rents and charges,,140.1,b. Weekly total charges mean
E09000014,2016-2017,PRP rents and charges,,120.9,a. Weekly rent mean
