FeatureCode,DateCode,Measurement,Units,Value,Rent and charges
E09000008,2015-2016,LA rents and charges,,120.1,b. Weekly total charges mean
E09000008,2013-2014,LA rents and charges,,93.3,a. Weekly rent mean
E09000008,2013-2014,LA rents and charges,,105.6,b. Weekly total charges mean
E09000008,2014-2015,LA rents and charges,,109.2,b. Weekly total charges mean
E09000008,2014-2015,LA rents and charges,,98.1,a. Weekly rent mean
E09000008,2015-2016,LA rents and charges,,107.9,a. Weekly rent mean
E09000009,2015-2016,LA rents and charges,,123.2,b. Weekly total charges mean
E09000009,2014-2015,LA rents and charges,,106.8,b. Weekly total charges mean
E09000009,2015-2016,LA rents and charges,,115.2,a. Weekly rent mean
E09000009,2014-2015,LA rents and charges,,99.5,a. Weekly rent mean
E09000009,2013-2014,LA rents and charges,,93.7,a. Weekly rent mean
E09000009,2013-2014,LA rents and charges,,100.9,b. Weekly total charges mean
E09000010,2014-2015,LA rents and charges,,107.4,b. Weekly total charges mean
E09000010,2014-2015,LA rents and charges,,96.2,a. Weekly rent mean
E09000010,2015-2016,LA rents and charges,,110.3,b. Weekly total charges mean
E09000010,2013-2014,LA rents and charges,,92.9,a. Weekly rent mean
E09000010,2013-2014,LA rents and charges,,103.7,b. Weekly total charges mean
E09000010,2015-2016,LA rents and charges,,98.5,a. Weekly rent mean
E09000011,2013-2014,LA rents and charges,,96.9,b. Weekly total charges mean
E09000011,2015-2016,LA rents and charges,,101,a. Weekly rent mean
E09000011,2013-2014,LA rents and charges,,95.1,a. Weekly rent mean
E09000011,2014-2015,LA rents and charges,,98.3,a. Weekly rent mean
E09000011,2014-2015,LA rents and charges,,100.5,b. Weekly total charges mean
E09000011,2015-2016,LA rents and charges,,103.2,b. Weekly total charges mean
E09000012,2014-2015,LA rents and charges,,116.1,b. Weekly total charges mean
E09000012,2015-2016,LA rents and charges,,94.3,a. Weekly rent mean
E09000012,2015-2016,LA rents and charges,,112.4,b. Weekly total charges mean
E09000012,2014-2015,LA rents and charges,,97.3,a. Weekly rent mean
E09000012,2013-2014,LA rents and charges,,113.7,b. Weekly total charges mean
E09000012,2013-2014,LA rents and charges,,95.7,a. Weekly rent mean
E09000013,2015-2016,LA rents and charges,,124,b. Weekly total charges mean
E09000013,2014-2015,LA rents and charges,,123.6,b. Weekly total charges mean
E09000013,2014-2015,LA rents and charges,,115.1,a. Weekly rent mean
E09000013,2015-2016,LA rents and charges,,116.2,a. Weekly rent mean
E09000013,2013-2014,LA rents and charges,,94.1,a. Weekly rent mean
E09000013,2013-2014,LA rents and charges,,106.1,b. Weekly total charges mean
E09000014,2013-2014,LA rents and charges,,97.6,a. Weekly rent mean
E09000014,2015-2016,LA rents and charges,,104,a. Weekly rent mean
E09000014,2014-2015,LA rents and charges,,102.1,a. Weekly rent mean
E09000014,2013-2014,LA rents and charges,,115.9,b. Weekly total charges mean
E09000014,2014-2015,LA rents and charges,,121.3,b. Weekly total charges mean
E09000014,2015-2016,LA rents and charges,,123.1,b. Weekly total charges mean
E09000015,2014-2015,LA rents and charges,,112.3,a. Weekly rent mean
E09000015,2014-2015,LA rents and charges,,115.6,b. Weekly total charges mean
E09000015,2013-2014,LA rents and charges,,106.8,a. Weekly rent mean
E09000015,2015-2016,LA rents and charges,,119.7,b. Weekly total charges mean
E09000015,2015-2016,LA rents and charges,,115,a. Weekly rent mean
E09000015,2013-2014,LA rents and charges,,113.1,b. Weekly total charges mean
E09000016,2014-2015,LA rents and charges,,105.1,a. Weekly rent mean
E09000016,2014-2015,LA rents and charges,,113.4,b. Weekly total charges mean
E09000016,2015-2016,LA rents and charges,,106.7,a. Weekly rent mean
E09000016,2013-2014,LA rents and charges,,99.9,b. Weekly total charges mean
E09000016,2015-2016,LA rents and charges,,110.6,b. Weekly total charges mean
E09000016,2013-2014,LA rents and charges,,99.3,a. Weekly rent mean
E09000017,2014-2015,LA rents and charges,,116.5,b. Weekly total charges mean
E09000017,2014-2015,LA rents and charges,,106.4,a. Weekly rent mean
E09000017,2015-2016,LA rents and charges,,118.1,b. Weekly total charges mean
E09000017,2015-2016,LA rents and charges,,107.4,a. Weekly rent mean
E09000017,2013-2014,LA rents and charges,,106.1,b. Weekly total charges mean
E09000017,2013-2014,LA rents and charges,,100.7,a. Weekly rent mean
E09000018,2015-2016,LA rents and charges,,104.7,a. Weekly rent mean
E09000018,2013-2014,LA rents and charges,,98.8,a. Weekly rent mean
E09000018,2014-2015,LA rents and charges,,116.1,b. Weekly total charges mean
E09000018,2014-2015,LA rents and charges,,105.1,a. Weekly rent mean
E09000018,2015-2016,LA rents and charges,,117.9,b. Weekly total charges mean
E09000018,2013-2014,LA rents and charges,,112,b. Weekly total charges mean
E09000019,2015-2016,LA rents and charges,,109.6,a. Weekly rent mean
E09000019,2013-2014,LA rents and charges,,113.6,a. Weekly rent mean
E09000019,2014-2015,LA rents and charges,,120.7,b. Weekly total charges mean
E09000019,2014-2015,LA rents and charges,,114.9,a. Weekly rent mean
E09000019,2013-2014,LA rents and charges,,125.2,b. Weekly total charges mean
E09000019,2015-2016,LA rents and charges,,113.6,b. Weekly total charges mean
E09000020,2013-2014,LA rents and charges,,124.9,b. Weekly total charges mean
E09000020,2015-2016,LA rents and charges,,123.5,a. Weekly rent mean
E09000020,2015-2016,LA rents and charges,,146.1,b. Weekly total charges mean
E09000020,2013-2014,LA rents and charges,,114.9,a. Weekly rent mean
E09000020,2014-2015,LA rents and charges,,117.8,a. Weekly rent mean
E09000020,2014-2015,LA rents and charges,,136.7,b. Weekly total charges mean
E09000021,2015-2016,LA rents and charges,,125.3,b. Weekly total charges mean
E09000021,2015-2016,LA rents and charges,,117.3,a. Weekly rent mean
E09000021,2014-2015,LA rents and charges,,122,b. Weekly total charges mean
E09000021,2014-2015,LA rents and charges,,110.1,a. Weekly rent mean
E09000021,2013-2014,LA rents and charges,,118.8,b. Weekly total charges mean
E09000021,2013-2014,LA rents and charges,,107.4,a. Weekly rent mean
E09000022,2014-2015,LA rents and charges,,123.7,b. Weekly total charges mean
E09000022,2015-2016,LA rents and charges,,128.7,b. Weekly total charges mean
E09000022,2013-2014,LA rents and charges,,121,b. Weekly total charges mean
E09000022,2013-2014,LA rents and charges,,100.2,a. Weekly rent mean
E09000022,2014-2015,LA rents and charges,,103.1,a. Weekly rent mean
E09000022,2015-2016,LA rents and charges,,109.4,a. Weekly rent mean
E09000023,2014-2015,LA rents and charges,,101.4,b. Weekly total charges mean
E09000023,2013-2014,LA rents and charges,,100.9,b. Weekly total charges mean
E09000023,2014-2015,LA rents and charges,,92.8,a. Weekly rent mean
E09000023,2015-2016,LA rents and charges,,104.3,b. Weekly total charges mean
E09000023,2015-2016,LA rents and charges,,96.2,a. Weekly rent mean
E09000023,2013-2014,LA rents and charges,,91.2,a. Weekly rent mean
E09000025,2013-2014,LA rents and charges,,90.8,a. Weekly rent mean
E09000025,2014-2015,LA rents and charges,,95,a. Weekly rent mean
E09000025,2014-2015,LA rents and charges,,102.4,b. Weekly total charges mean
E09000025,2013-2014,LA rents and charges,,100.2,b. Weekly total charges mean
E09000025,2015-2016,LA rents and charges,,99.4,a. Weekly rent mean
E09000025,2015-2016,LA rents and charges,,106.4,b. Weekly total charges mean
E09000026,2013-2014,LA rents and charges,,109.1,b. Weekly total charges mean
E09000026,2015-2016,LA rents and charges,,108.1,b. Weekly total charges mean
E09000026,2013-2014,LA rents and charges,,101.5,a. Weekly rent mean
E09000026,2014-2015,LA rents and charges,,97.9,a. Weekly rent mean
E09000026,2015-2016,LA rents and charges,,102.5,a. Weekly rent mean
E09000026,2014-2015,LA rents and charges,,103,b. Weekly total charges mean
E09000028,2013-2014,LA rents and charges,,111.9,b. Weekly total charges mean
E09000028,2014-2015,LA rents and charges,,114.3,b. Weekly total charges mean
E09000028,2013-2014,LA rents and charges,,94.6,a. Weekly rent mean
E09000028,2015-2016,LA rents and charges,,106.8,a. Weekly rent mean
E09000028,2014-2015,LA rents and charges,,97.4,a. Weekly rent mean
E09000028,2015-2016,LA rents and charges,,125,b. Weekly total charges mean
E09000029,2015-2016,LA rents and charges,,108.7,a. Weekly rent mean
E09000029,2013-2014,LA rents and charges,,99.9,a. Weekly rent mean
E09000029,2014-2015,LA rents and charges,,104.3,a. Weekly rent mean
E09000029,2015-2016,LA rents and charges,,120.5,b. Weekly total charges mean
E09000029,2013-2014,LA rents and charges,,110.3,b. Weekly total charges mean
E09000029,2014-2015,LA rents and charges,,115.5,b. Weekly total charges mean
